Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimID
May,4.0,Thursday,Honda,Urban,Monday,Jun,,Male,Married,27.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,11558.0,10.0,400.0,,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,,1 vehicle,2021.0,Liability,11557
may,2.0,friday,,,tuesday,may,,male,married,48.0,policy holder,sedan - all perils,sedan,less than 20000,11559.0,15.0,400.0,3.0,more than 30,more than 30,none,more than 7,41 to 50,,no,external,none,no change,1 vehicle,2021.0,all perils,11558
May,1.0,Thursday,Pontiac,Urban,Wednesday,Jun,1.0,Male,Married,37.0,,Sedan - Collision,,30000 to 39000,,9.0,,4.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2021.0,Collision,11559
Apr,1.0,Saturday,Honda,Urban,Monday,Apr,1.0,Male,Single,0.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,11561.0,15.0,400.0,1.0,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,,2021.0,All Perils,11560
,2.0,Friday,Ford,Urban,Monday,Mar,3.0,Male,Married,56.0,Policy Holder,,Sport,30000 to 39000,11562.0,9.0,400.0,4.0,,,none,more than 7,51 to 65,No,No,,none,no change,1 vehicle,2021.0,Liability,11561
Feb,4.0,Monday,Honda,Urban,Tuesday,Feb,4.0,Male,Married,44.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,11563.0,10.0,,3.0,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,3 to 4,2021.0,All Perils,11562
may,4.0,friday,chevrolet,urban,monday,may,5.0,female,,40.0,,sedan - liability,sport,30000 to 39000,11564.0,15.0,700.0,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,no,no,external,more than 5,no change,1 vehicle,2021.0,liability,11563
may,3.0,,mazda,urban,monday,may,4.0,male,,33.0,third party,sedan - collision,sedan,more than 69000,11565.0,,400.0,3.0,,more than 30,,7 years,31 to 35,no,no,external,1 to 2,,1 vehicle,2021.0,collision,11564
may,3.0,,chevrolet,urban,wednesday,may,3.0,male,married,77.0,third party,,sport,30000 to 39000,11566.0,5.0,400.0,2.0,more than 30,more than 30,none,6 years,over 65,no,no,external,,no change,1 vehicle,,liability,11565
Sep,,Tuesday,Honda,Urban,Tuesday,Sep,3.0,,Married,,Policy Holder,Sedan - Liability,Sport,more than 69000,11567.0,,400.0,2.0,more than 30,,more than 4,7 years,36 to 40,No,No,,,no change,1 vehicle,2021.0,Liability,11566
Jun,2.0,Tuesday,Dodge,,Tuesday,Jun,2.0,Male,Married,37.0,Policy Holder,Sedan - Liability,Sport,more than 69000,11568.0,9.0,400.0,4.0,,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,2021.0,Liability,11567
jun,1.0,monday,accura,urban,friday,jun,2.0,male,married,43.0,policy holder,sedan - liability,sport,40000 to 59000,11569.0,9.0,400.0,4.0,more than 30,more than 30,more than 4,7 years,,no,no,external,none,no change,1 vehicle,2021.0,liability,11568
Jul,3.0,Sunday,Honda,Urban,Tuesday,,4.0,Female,Single,43.0,Policy Holder,Sedan - All Perils,Sedan,,11570.0,9.0,400.0,3.0,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,2021.0,All Perils,11569
Jul,2.0,Wednesday,Pontiac,Urban,,Jul,3.0,Male,Married,52.0,Policy Holder,Sedan - Liability,Sport,,11571.0,9.0,400.0,,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,,Liability,11570
Sep,1.0,Monday,Honda,Urban,Thursday,Sep,2.0,Male,Married,26.0,,Sedan - All Perils,Sedan,,,12.0,400.0,3.0,more than 30,more than 30,none,new,31 to 35,No,No,External,none,4 to 8 years,,2021.0,All Perils,11571
Nov,4.0,,Honda,,Tuesday,,4.0,Male,Married,34.0,Policy Holder,Sedan - Liability,,30000 to 39000,11573.0,,,4.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,2021.0,Liability,11572
,3.0,Tuesday,Pontiac,Urban,Thursday,Nov,3.0,Male,Married,45.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,11574.0,5.0,400.0,1.0,more than 30,more than 30,,7 years,,No,No,External,none,no change,1 vehicle,2021.0,Liability,11573
Oct,2.0,Monday,Chevrolet,Urban,,Oct,2.0,Male,,28.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11575.0,1.0,400.0,2.0,more than 30,more than 30,none,,31 to 35,No,No,External,none,no change,1 vehicle,2021.0,Collision,11574
Dec,3.0,Monday,Mazda,Rural,Wednesday,Dec,4.0,Male,Single,30.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11576.0,13.0,400.0,4.0,more than 30,,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,,2021.0,Collision,11575
mar,1.0,thursday,toyota,urban,thursday,mar,1.0,male,married,32.0,policy holder,sedan - collision,sedan,20000 to 29000,,12.0,400.0,2.0,more than 30,more than 30,2 to 4,7 years,31 to 35,no,no,external,3 to 5,no change,1 vehicle,2021.0,collision,11576
,3.0,monday,honda,urban,friday,nov,4.0,,married,35.0,third party,sedan - collision,sedan,30000 to 39000,11578.0,1.0,500.0,4.0,more than 30,more than 30,2 to 4,7 years,31 to 35,,no,external,none,,1 vehicle,,collision,11577
,4.0,thursday,,urban,friday,nov,4.0,male,married,52.0,policy holder,sedan - all perils,sedan,,11579.0,7.0,400.0,3.0,more than 30,more than 30,1,more than 7,41 to 50,yes,no,external,1 to 2,no change,1 vehicle,,all perils,11578
Nov,4.0,Wednesday,Toyota,Urban,,,5.0,Male,Married,29.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,11580.0,14.0,400.0,2.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,,Liability,11579
Dec,5.0,Saturday,Toyota,Urban,Monday,Jan,1.0,Female,Married,27.0,,Sedan - Collision,Sedan,20000 to 29000,11581.0,,400.0,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,,No,External,1 to 2,no change,1 vehicle,2021.0,Collision,11580
Jun,,Monday,Mazda,Urban,Tuesday,Jun,3.0,Male,Married,42.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,11582.0,7.0,,4.0,more than 30,more than 30,,more than 7,36 to 40,No,No,Internal,1 to 2,no change,1 vehicle,2021.0,Liability,11581
Jun,4.0,Wednesday,Chevrolet,Urban,Friday,Jun,4.0,Male,Married,36.0,Third Party,,Sport,30000 to 39000,11583.0,4.0,400.0,3.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,2021.0,Liability,11582
apr,3.0,sunday,toyota,urban,monday,jun,4.0,male,married,31.0,policy holder,sedan - collision,,less than 20000,11584.0,7.0,400.0,4.0,more than 30,more than 30,,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2021.0,collision,11583
Sep,1.0,Tuesday,Honda,Urban,Tuesday,Sep,1.0,Male,Single,22.0,Third Party,,Sedan,,11585.0,8.0,400.0,3.0,more than 30,more than 30,1,5 years,,,No,External,none,no change,1 vehicle,,Collision,11584
dec,4.0,saturday,vw,urban,,dec,4.0,male,married,40.0,policy holder,,sport,40000 to 59000,11586.0,,400.0,3.0,more than 30,more than 30,more than 4,more than 7,36 to 40,no,no,external,more than 5,no change,1 vehicle,,liability,11585
Jan,3.0,Tuesday,Mazda,Urban,Wednesday,,3.0,Male,Single,26.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,15.0,400.0,,more than 30,more than 30,1,6 years,31 to 35,No,No,,1 to 2,no change,1 vehicle,2021.0,Collision,11586
Mar,1.0,Thursday,Ford,,Wednesday,Mar,2.0,Male,Single,47.0,Policy Holder,Sedan - Liability,Sport,40000 to 59000,,3.0,400.0,3.0,more than 30,more than 30,,,41 to 50,No,No,External,none,no change,1 vehicle,2021.0,Liability,11587
jun,2.0,monday,toyota,rural,monday,jun,2.0,male,,32.0,policy holder,sedan - liability,sport,20000 to 29000,11589.0,,400.0,2.0,more than 30,more than 30,2 to 4,5 years,31 to 35,no,no,,none,no change,1 vehicle,2021.0,liability,11588
Jun,2.0,Friday,Toyota,Urban,Friday,Jun,2.0,Male,Married,35.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,11590.0,6.0,,1.0,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,,none,no change,1 vehicle,2021.0,Liability,11589
,4.0,Saturday,Mazda,Urban,Tuesday,May,5.0,Male,Single,22.0,Policy Holder,,Sport,30000 to 39000,11591.0,9.0,400.0,1.0,more than 30,more than 30,2 to 4,6 years,26 to 30,No,,External,more than 5,no change,1 vehicle,2021.0,Liability,11590
Jul,2.0,Thursday,Honda,Urban,Wednesday,Jul,2.0,Male,Married,41.0,Policy Holder,Sedan - Liability,Sport,,,7.0,400.0,3.0,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,2021.0,Liability,11591
,4.0,Friday,Honda,Urban,Tuesday,Oct,1.0,Male,Married,30.0,Policy Holder,Sedan - Collision,,20000 to 29000,11593.0,,400.0,1.0,more than 30,more than 30,none,6 years,31 to 35,No,No,,none,4 to 8 years,2 vehicles,2021.0,Collision,11592
Sep,4.0,Sunday,Honda,Urban,Friday,Sep,5.0,,,35.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,11594.0,15.0,400.0,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,,Liability,11593
oct,4.0,tuesday,vw,urban,thursday,oct,4.0,male,divorced,42.0,policy holder,sedan - collision,,40000 to 59000,11595.0,,700.0,1.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,no,no,external,1 to 2,no change,1 vehicle,,collision,11594
Oct,4.0,Saturday,Dodge,Urban,,Nov,1.0,,Married,47.0,Policy Holder,Sedan - Liability,Sport,,11596.0,1.0,400.0,1.0,more than 30,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,,Liability,11595
dec,4.0,thursday,accura,urban,thursday,jan,2.0,male,married,67.0,,sedan - all perils,,30000 to 39000,11597.0,4.0,400.0,4.0,more than 30,,1,more than 7,over 65,,no,external,3 to 5,no change,1 vehicle,2021.0,all perils,11596
Dec,4.0,Thursday,Ford,Urban,Thursday,Dec,5.0,Male,Married,,Policy Holder,Sedan - All Perils,Sedan,,11598.0,6.0,400.0,3.0,more than 30,more than 30,2 to 4,more than 7,,No,No,External,3 to 5,,1 vehicle,2021.0,All Perils,11597
Jun,,Wednesday,Pontiac,Urban,Friday,Jun,,Male,Married,44.0,Third Party,Sedan - Liability,Sport,30000 to 39000,11599.0,1.0,400.0,1.0,more than 30,more than 30,,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,2021.0,Liability,11598
,3.0,Thursday,Chevrolet,Urban,Friday,May,3.0,Male,Married,44.0,Third Party,Sedan - All Perils,,20000 to 29000,11600.0,2.0,400.0,2.0,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,,1 vehicle,2021.0,,11599
apr,,monday,honda,urban,tuesday,apr,4.0,male,married,42.0,policy holder,sedan - liability,sport,more than 69000,11601.0,10.0,400.0,,more than 30,more than 30,none,7 years,36 to 40,no,no,external,more than 5,no change,1 vehicle,2021.0,liability,11600
may,3.0,sunday,,rural,monday,,3.0,,married,56.0,third party,sedan - liability,sport,20000 to 29000,11602.0,,400.0,2.0,more than 30,more than 30,1,7 years,51 to 65,no,no,external,none,no change,1 vehicle,2021.0,liability,11601
aug,5.0,monday,toyota,,monday,sep,3.0,male,married,60.0,third party,sedan - liability,sport,30000 to 39000,11603.0,12.0,400.0,3.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,no,no,external,1 to 2,no change,1 vehicle,2021.0,liability,11602
nov,1.0,saturday,dodge,urban,tuesday,nov,2.0,female,married,52.0,third party,sedan - all perils,sedan,20000 to 29000,11604.0,14.0,400.0,3.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,no,no,external,1 to 2,no change,3 to 4,2021.0,all perils,11603
oct,4.0,wednesday,honda,urban,thursday,oct,4.0,male,single,30.0,policy holder,sedan - liability,,20000 to 29000,11605.0,1.0,400.0,3.0,more than 30,more than 30,2 to 4,5 years,,no,no,external,none,,1 vehicle,2021.0,liability,11604
Dec,3.0,Wednesday,Ford,Urban,Thursday,Dec,5.0,Male,Married,49.0,Policy Holder,Utility - All Perils,Utility,more than 69000,11606.0,14.0,400.0,3.0,more than 30,more than 30,none,more than 7,41 to 50,No,,External,none,no change,1 vehicle,2021.0,All Perils,11605
Apr,3.0,Monday,Toyota,Urban,Thursday,Apr,3.0,Male,Married,58.0,Third Party,,Sedan,less than 20000,11607.0,1.0,400.0,1.0,more than 30,more than 30,none,more than 7,51 to 65,No,,External,1 to 2,no change,1 vehicle,2021.0,All Perils,11606
oct,2.0,friday,toyota,urban,friday,oct,2.0,female,single,26.0,policy holder,sedan - collision,sedan,20000 to 29000,11608.0,12.0,400.0,1.0,more than 30,more than 30,none,6 years,,no,no,external,none,no change,1 vehicle,2021.0,collision,11607
,3.0,Monday,Mazda,,Friday,Aug,3.0,Male,Single,,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11609.0,6.0,400.0,2.0,,more than 30,2 to 4,6 years,31 to 35,,,External,none,no change,1 vehicle,2021.0,Collision,11608
,3.0,Sunday,Saab,Urban,Wednesday,May,3.0,Male,Married,47.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,11610.0,1.0,400.0,2.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,,no change,1 vehicle,2021.0,,11609
Oct,3.0,Tuesday,Pontiac,Urban,Tuesday,Oct,3.0,Male,Single,29.0,,Sedan - Liability,Sport,less than 20000,11611.0,13.0,400.0,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,2021.0,,11610
oct,3.0,wednesday,toyota,urban,thursday,oct,3.0,male,married,36.0,policy holder,sedan - collision,sedan,20000 to 29000,11612.0,,400.0,1.0,more than 30,more than 30,,,36 to 40,no,no,external,3 to 5,no change,,2021.0,collision,11611
Oct,1.0,Saturday,Ford,Urban,Monday,Oct,1.0,Male,Married,50.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,11613.0,11.0,400.0,2.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,,1 vehicle,2021.0,Liability,11612
,1.0,monday,toyota,urban,friday,oct,4.0,male,married,49.0,third party,sedan - all perils,sedan,20000 to 29000,11614.0,2.0,400.0,4.0,more than 30,more than 30,none,more than 7,41 to 50,no,no,external,none,4 to 8 years,2 vehicles,2021.0,all perils,11613
Jul,2.0,,Honda,Urban,Wednesday,Aug,,Male,Single,42.0,Policy Holder,Sedan - Collision,Sedan,less than 20000,,10.0,400.0,4.0,more than 30,more than 30,,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2021.0,Collision,11614
jun,3.0,thursday,pontiac,urban,friday,jun,3.0,male,,51.0,policy holder,sedan - liability,sport,30000 to 39000,11616.0,6.0,400.0,4.0,more than 30,more than 30,2 to 4,7 years,41 to 50,no,,external,,no change,1 vehicle,2021.0,liability,11615
mar,3.0,friday,pontiac,,tuesday,may,3.0,male,single,39.0,policy holder,sedan - collision,sedan,less than 20000,11617.0,8.0,400.0,1.0,more than 30,more than 30,more than 4,more than 7,36 to 40,no,no,external,none,no change,1 vehicle,2021.0,,11616
Jan,4.0,Thursday,Toyota,Urban,Friday,Nov,1.0,Male,Married,41.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,11618.0,7.0,400.0,3.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,,2021.0,All Perils,11617
nov,1.0,wednesday,chevrolet,urban,,nov,1.0,female,single,30.0,policy holder,sedan - liability,sport,20000 to 29000,11619.0,9.0,400.0,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2021.0,liability,11618
Jun,2.0,Sunday,Pontiac,,Wednesday,Jun,3.0,Female,Married,,Policy Holder,Sedan - Liability,Sport,20000 to 29000,11620.0,14.0,400.0,,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,2021.0,Liability,11619
apr,1.0,monday,mazda,urban,thursday,apr,2.0,male,married,35.0,policy holder,sedan - liability,sport,20000 to 29000,11621.0,,400.0,4.0,more than 30,more than 30,more than 4,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2021.0,liability,11620
Nov,3.0,,Honda,Urban,,Nov,4.0,Female,Married,40.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,11622.0,,400.0,3.0,more than 30,more than 30,none,7 years,36 to 40,No,No,,none,no change,1 vehicle,2021.0,All Perils,11621
Nov,3.0,Wednesday,,Urban,Wednesday,,4.0,Male,Married,38.0,Third Party,Sport - Collision,,more than 69000,11623.0,5.0,,3.0,more than 30,more than 30,none,,36 to 40,No,No,External,none,no change,1 vehicle,2021.0,,11622
jul,1.0,wednesday,pontiac,,tuesday,jul,2.0,male,single,26.0,,sedan - liability,sport,20000 to 29000,11624.0,3.0,400.0,1.0,,,none,,31 to 35,no,no,external,none,no change,1 vehicle,,liability,11623
Mar,2.0,Sunday,Toyota,Urban,Monday,Mar,2.0,Male,Single,47.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,8.0,400.0,1.0,more than 30,more than 30,1,more than 7,41 to 50,,No,External,none,no change,1 vehicle,2021.0,Collision,11624
Jan,2.0,Tuesday,,Urban,Tuesday,Jan,2.0,Male,,52.0,Policy Holder,,Sedan,30000 to 39000,11626.0,12.0,700.0,4.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,,All Perils,11625
jan,,sunday,vw,urban,monday,jan,2.0,,single,44.0,policy holder,sedan - collision,,60000 to 69000,11627.0,15.0,400.0,1.0,more than 30,more than 30,1,more than 7,36 to 40,no,no,external,more than 5,no change,1 vehicle,2021.0,collision,11626
Dec,5.0,Saturday,Pontiac,Urban,Monday,Jan,2.0,Female,Married,33.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11628.0,,400.0,2.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,,,11627
Dec,5.0,,Chevrolet,Urban,Thursday,Jan,2.0,Male,Single,30.0,Third Party,Sedan - Liability,Sport,20000 to 29000,11629.0,,500.0,1.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,2021.0,Liability,11628
dec,1.0,saturday,pontiac,urban,tuesday,dec,2.0,male,married,39.0,policy holder,sedan - liability,sport,20000 to 29000,,5.0,400.0,4.0,more than 30,more than 30,more than 4,7 years,,no,no,external,1 to 2,no change,1 vehicle,2021.0,liability,11629
Sep,4.0,Wednesday,Toyota,,Wednesday,Sep,,Male,Married,35.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,11631.0,11.0,,,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,2021.0,Collision,11630
Feb,4.0,Wednesday,Honda,Urban,Friday,Mar,,Female,Married,37.0,Policy Holder,,,less than 20000,11632.0,13.0,400.0,2.0,,more than 30,1,7 years,36 to 40,No,,External,none,no change,1 vehicle,2021.0,All Perils,11631
jan,3.0,wednesday,honda,urban,thursday,,3.0,male,married,42.0,policy holder,sedan - collision,sedan,20000 to 29000,11633.0,,,4.0,more than 30,more than 30,none,more than 7,36 to 40,no,no,external,3 to 5,no change,1 vehicle,2021.0,collision,11632
,4.0,Tuesday,Toyota,Urban,Monday,May,3.0,Male,Single,27.0,Policy Holder,Sedan - All Perils,,,11634.0,,400.0,1.0,more than 30,,2 to 4,,31 to 35,No,No,External,none,no change,1 vehicle,2021.0,All Perils,11633
may,4.0,thursday,pontiac,urban,tuesday,may,5.0,male,single,31.0,policy holder,sedan - all perils,sedan,20000 to 29000,11635.0,,400.0,3.0,,more than 30,none,6 years,31 to 35,no,,external,none,4 to 8 years,2 vehicles,2021.0,all perils,11634
sep,2.0,wednesday,chevrolet,urban,monday,,2.0,female,married,29.0,policy holder,sedan - liability,sport,,11636.0,14.0,400.0,4.0,more than 30,more than 30,more than 4,6 years,31 to 35,no,no,external,none,no change,,2021.0,liability,11635
sep,1.0,monday,pontiac,rural,tuesday,,1.0,male,married,,third party,sedan - all perils,,20000 to 29000,11637.0,7.0,400.0,1.0,more than 30,more than 30,1,7 years,36 to 40,,no,external,,no change,1 vehicle,2021.0,,11636
,4.0,Tuesday,Toyota,Urban,Wednesday,Sep,5.0,Male,Married,29.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,11638.0,13.0,,1.0,more than 30,more than 30,none,6 years,,No,No,External,none,no change,1 vehicle,2021.0,All Perils,11637
nov,5.0,tuesday,mazda,urban,tuesday,nov,5.0,male,married,44.0,policy holder,sedan - liability,sport,20000 to 29000,11639.0,1.0,,2.0,more than 30,more than 30,2 to 4,6 years,36 to 40,no,no,,none,no change,1 vehicle,2021.0,liability,11638
,1.0,Sunday,Honda,,Monday,Jan,1.0,Male,,25.0,Third Party,,Sport,more than 69000,11640.0,9.0,400.0,3.0,,more than 30,1,6 years,,No,No,External,more than 5,no change,1 vehicle,2021.0,Collision,11639
May,3.0,Tuesday,Toyota,Urban,Tuesday,May,3.0,Female,Married,43.0,Policy Holder,Sedan - Liability,Sport,,,13.0,,3.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,,no change,1 vehicle,2021.0,Liability,11640
Sep,3.0,Saturday,Honda,Urban,,Sep,3.0,Male,Married,62.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,11642.0,2.0,400.0,1.0,more than 30,more than 30,2 to 4,more than 7,,,No,External,more than 5,no change,,2021.0,Liability,11641
,3.0,Thursday,Toyota,Urban,Tuesday,Sep,3.0,Male,Single,34.0,Third Party,Sedan - Collision,Sedan,,11643.0,,400.0,1.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,,no change,1 vehicle,2021.0,Collision,11642
apr,3.0,wednesday,toyota,,tuesday,apr,4.0,,single,29.0,policy holder,sedan - liability,sport,20000 to 29000,11644.0,1.0,400.0,3.0,more than 30,more than 30,2 to 4,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2021.0,liability,11643
oct,2.0,thursday,honda,urban,thursday,dec,5.0,male,married,,third party,sedan - collision,sedan,20000 to 29000,11645.0,1.0,400.0,3.0,more than 30,more than 30,1,7 years,31 to 35,no,no,external,none,no change,3 to 4,2021.0,collision,11644
Dec,3.0,Saturday,Ford,,Friday,Dec,4.0,Male,,54.0,Policy Holder,,Sport,,11646.0,14.0,400.0,4.0,more than 30,more than 30,2 to 4,,41 to 50,No,No,External,none,no change,,2021.0,Liability,11645
Dec,4.0,Tuesday,Pontiac,,Wednesday,Dec,4.0,Male,Single,29.0,Third Party,Sedan - Liability,Sport,20000 to 29000,,8.0,,3.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,2021.0,Liability,11646
Dec,4.0,Friday,Honda,Urban,Tuesday,Dec,4.0,Male,Married,31.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11648.0,7.0,400.0,3.0,more than 30,,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,,,11647
,3.0,friday,toyota,,wednesday,dec,3.0,male,married,49.0,,sedan - all perils,sedan,20000 to 29000,,15.0,400.0,3.0,more than 30,more than 30,1,more than 7,41 to 50,no,no,external,more than 5,1 year,1 vehicle,2021.0,all perils,11648
oct,2.0,monday,mazda,urban,monday,oct,4.0,male,married,48.0,policy holder,sedan - liability,sport,30000 to 39000,11650.0,5.0,400.0,1.0,more than 30,more than 30,more than 4,more than 7,41 to 50,no,no,external,more than 5,no change,,2021.0,liability,11649
apr,3.0,wednesday,pontiac,urban,wednesday,apr,3.0,male,,27.0,third party,sedan - collision,sedan,20000 to 29000,11651.0,5.0,400.0,1.0,more than 30,,1,7 years,31 to 35,no,no,external,,no change,1 vehicle,,collision,11650
May,4.0,Thursday,Mazda,Urban,Friday,May,,Male,Married,28.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,11652.0,14.0,400.0,,more than 30,more than 30,2 to 4,6 years,31 to 35,,,External,1 to 2,no change,1 vehicle,,,11651
May,4.0,Friday,Pontiac,Urban,Thursday,Jun,1.0,Male,Married,40.0,Policy Holder,Sedan - Liability,Sport,,11653.0,11.0,400.0,2.0,more than 30,more than 30,2 to 4,,,No,No,External,none,no change,1 vehicle,2021.0,Liability,11652
may,4.0,friday,pontiac,rural,,may,4.0,female,married,31.0,policy holder,sedan - all perils,sedan,20000 to 29000,11654.0,,400.0,1.0,more than 30,more than 30,2 to 4,,31 to 35,no,no,external,none,no change,1 vehicle,2021.0,all perils,11653
May,4.0,Monday,,Urban,,May,4.0,Male,Single,34.0,Policy Holder,Sedan - Collision,,20000 to 29000,11655.0,7.0,400.0,1.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,,no change,1 vehicle,2021.0,Collision,11654
May,4.0,Tuesday,Chevrolet,Urban,Tuesday,May,4.0,Male,Married,57.0,Policy Holder,,,30000 to 39000,11656.0,7.0,400.0,2.0,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,4 to 8 years,2 vehicles,2021.0,,11655
,3.0,Friday,Pontiac,Urban,Friday,,4.0,,Married,55.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,11657.0,16.0,700.0,4.0,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,2021.0,All Perils,11656
Apr,3.0,Sunday,Mazda,Urban,Thursday,Nov,5.0,Male,Single,31.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,11658.0,9.0,400.0,1.0,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,2021.0,All Perils,11657
jan,4.0,monday,honda,,,,,,married,52.0,policy holder,sedan - liability,sport,20000 to 29000,11659.0,,400.0,,,more than 30,2 to 4,more than 7,41 to 50,no,no,external,,no change,1 vehicle,2021.0,liability,11658
dec,3.0,thursday,chevrolet,urban,thursday,dec,3.0,male,married,38.0,policy holder,utility - all perils,utility,more than 69000,11660.0,,400.0,,more than 30,more than 30,2 to 4,7 years,36 to 40,,,external,more than 5,no change,1 vehicle,2021.0,all perils,11659
Nov,3.0,Friday,Pontiac,Urban,Friday,,3.0,,Single,39.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,11661.0,16.0,400.0,,more than 30,more than 30,2 to 4,,36 to 40,No,No,External,none,,,2021.0,Liability,11660
Nov,3.0,Monday,Mazda,Urban,,Nov,3.0,Male,Married,72.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,11662.0,13.0,400.0,1.0,more than 30,more than 30,,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,2021.0,Liability,11661
sep,5.0,wednesday,honda,urban,monday,oct,1.0,female,married,,policy holder,,,30000 to 39000,11663.0,3.0,400.0,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,no,no,external,none,,1 vehicle,2021.0,liability,11662
